AC-02(11),Account Management | Usage Conditions,1,,,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,5, 2.2 ,13,,2,P2,30%,2,295,9.00,0.8%
AC-02(12),Account Management | Account Monitoring for Atypical Usage,1,,,,,1,,1,1,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,,7, 3.0 ,14,,2,P3,40%,3,1189,725.00,61.0%
AC-02(13),Account Management | Disable Accounts for High-risk Individuals,1,,,,1,1,,1,1,,,,,,1,,,,,,,,,,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,6, 2.6 ,15,,2,Total %,100%,,1920,1020,
AC-03,Access Enforcement,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,20, 8.7 ,16,,0,,,,,,
AC-03(01),[WITHDRAWN]: Permitted Actions Without Identification or Authentication | Necessary Uses,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,17,,3,,,,,,
AC-03(02),Access Enforcement | Dual Authorization,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,18,,3,,,,,,
AC-03(03),Access Enforcement | Mandatory Access Control,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,19,,3,P0,150,0.126156434,,,
AC-03(04),Access Enforcement | Discretionary Access Control,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,20,,3,P1,8,,,,
AC-03(05),Access Enforcement | Security-relevant Information,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,21,,3,P2,239,,,,
AC-03(06),[WITHDRAWN]: Automated Marking,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,22,,3,P3,792,,,,
AC-03(07),Access Enforcement | Role-based Access Control,1,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,4, 1.7 ,23,,3,,,,,,
AC-03(08),Access Enforcement | Revocation of Access Authorizations,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,24,,3,,,,,,
AC-03(09),Access Enforcement | Controlled Release,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,25,,3,,,,,,
AC-03(10),Access Enforcement | Audited Override of Access Control Mechanisms,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,26,,3,,,,,,
AC-03(11),Access Enforcement | Restrict Access to Specific Information Types,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,4, 1.7 ,27,,3,,,,,,
AC-03(12),Access Enforcement | Assert and Enforce Application Access,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,28,,3,,,,,,
AC-03(13),Access Enforcement | Attribute-based Access Control,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,29,,3,,,,,,
AC-03(14),Access Enforcement | Individual Access,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,3, 1.3 ,30,,3,,,,,,
AC-03(15),Access Enforcement | Discretionary and Mandatory Access Control,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,31,,3,,,,,,
AC-04,Information Flow Enforcement,1,,,,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,,,,,1,,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,17, 7.4 ,32,,2,,,,,,
AC-04(01),Information Flow Enforcement | Object Security and Privacy Attributes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,33,,3,,,,,,
AC-04(02),Information Flow Enforcement | Processing Domains,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,34,,3,,,,,,
AC-04(03),Information Flow Enforcement | Dynamic Information Flow Control,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,35,,3,,,,,,
AC-04(04),Information Flow Enforcement | Flow Control of Encrypted Information,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,3, 1.3 ,36,,2,,,,,,
AC-04(05),Information Flow Enforcement | Embedded Data Types,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,37,,3,,,,,,
AC-04(06),Information Flow Enforcement | Metadata,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,38,,3,,,,,,
AC-04(07),Information Flow Enforcement | One-way Flow Mechanisms,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,39,,3,,,,,,
AC-04(08),Information Flow Enforcement | Security and Privacy Policy Filters,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,40,,3,,,,,,
AC-04(09),Information Flow Enforcement | Human Reviews,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,41,,3,,,,,,
AC-04(10),Information Flow Enforcement | Enable and Disable Security or Privacy Policy Filters,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,42,,3,,,,,,
AC-04(11),Information Flow Enforcement | Configuration of Security or Privacy Policy Filters,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,43,,3,,,,,,
AC-04(12),Information Flow Enforcement | Data Type Identifiers,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3, 1.3 ,44,,3,,,,,,
AC-04(13),Information Flow Enforcement | Decomposition into Policy-relevant Subcomponents,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,45,,3,,,,,,
AC-04(14),Information Flow Enforcement | Security or Privacy Policy Filter Constraints,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,46,,3,,,,,,
AC-04(15),Information Flow Enforcement | Detection of Unsanctioned Information,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,47,,3,,,,,,
AC-04(16),[WITHDRAWN]: Remote Access | Monitoring for Unauthorized Connections,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,48,,3,,,,,,
AC-04(17),Information Flow Enforcement | Domain Authentication,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3, 1.3 ,49,,3,,,,,,
AC-04(18),[WITHDRAWN]: Remote Access | Additional Protection for Security Function Access,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,50,,3,,,,,,
AC-04(19),Information Flow Enforcement | Validation of Metadata,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,51,,3,,,,,,
AC-04(20),Information Flow Enforcement | Approved Solutions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,52,,3,,,,,,
AC-04(21),Information Flow Enforcement | Physical or Logical Separation of Information Flows,1,,,,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,6, 2.6 ,53,,2,,,,,,
AC-04(22),Information Flow Enforcement | Access Only,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,54,,3,,,,,,
AC-04(23),Information Flow Enforcement | Modify Non-releasable Information,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,55,,3,,,,,,
AC-04(24),Information Flow Enforcement | Internal Normalized Format,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,56,,3,,,,,,
AC-04(25),Information Flow Enforcement | Data Sanitization,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,57,,3,,,,,,
AC-04(26),Information Flow Enforcement | Audit Filtering Actions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,58,,3,,,,,,
AC-04(27),Information Flow Enforcement | Redundant/independent Filtering Mechanisms,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,59,,3,,,,,,
AC-04(28),Information Flow Enforcement | Linear Filter Pipelines,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,60,,3,,,,,,
AC-04(29),Information Flow Enforcement | Filter Orchestration Engines,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,61,,3,,,,,,
AC-04(30),Information Flow Enforcement | Filter Mechanisms Using Multiple Processes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,62,,3,,,,,,
AC-04(31),Information Flow Enforcement | Failed Content Transfer Prevention,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,63,,3,,,,,,
AC-04(32),Information Flow Enforcement | Process Requirements for Information Transfer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,64,,3,,,,,,
AC-05,Separation of Duties,1,,,,1,1,,1,1,,,,1,1,1,,1,1,1,1,,,,,,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,15, 6.5 ,65,,2,,,,,,
AC-06,Least Privilege,1,,,,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,18, 7.8 ,66,,2,,,,,,
AC-06(01),Least Privilege | Authorize Access to Security Functions,1,,,,1,1,,1,1,,,1,,1,1,1,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,12, 5.2 ,67,,2,,,,,,
AC-06(02),Least Privilege | Non-privileged Access for Nonsecurity Functions,1,,,,1,1,,1,1,,,,,1,1,1,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,11, 4.8 ,68,,2,,,,,,
AC-06(03),Least Privilege | Network Access to Privileged Commands,1,,,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,6, 2.6 ,69,,2,,,,,,
AC-06(04),Least Privilege | Separate Processing Domains,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3, 1.3 ,70,,3,,,,,,
AC-06(05),Least Privilege | Privileged Accounts,1,,,,1,1,,1,1,,,1,,1,,1,1,,1,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,12, 5.2 ,71,,2,,,,,,
AC-06(06),Least Privilege | Privileged Access by Non-organizational Users,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,4, 1.7 ,72,,3,,,,,,
AC-06(07),Least Privilege | Review of User Privileges,1,,,,1,1,,1,1,,,1,,,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,10, 4.3 ,73,,2,,,,,,
AC-06(08),Least Privilege | Privilege Levels for Code Execution,1,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,5, 2.2 ,74,,3,,,,,,
AC-06(09),Least Privilege | Log Use of Privileged Functions,1,,,,1,1,,1,1,,,1,,1,1,1,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,11, 4.8 ,75,,2,,,,,,
AC-06(10),Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,1,,,,1,1,,1,1,,,1,,,1,1,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,10, 4.3 ,76,,2,,,,,,
AC-07,Unsuccessful Logon Attempts,1,,,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,18, 7.8 ,77,,0,,,,,,
AC-07(01),[WITHDRAWN]: Remote Access | Disable Nonsecure Network Protocols,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,78,,3,,,,,,
AC-07(02),Unsuccessful Logon Attempts | Purge or Wipe Mobile Device,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3, 1.3 ,79,,3,,,,,,
AC-07(03),Unsuccessful Logon Attempts | Biometric Attempt Limiting,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,80,,3,,,,,,
AC-07(04),Unsuccessful Logon Attempts | Use of Alternate Authentication Factor,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,81,,3,,,,,,
AC-08,System Use Notification,1,,,1,1,1,1,1,1,1,,,,1,1,,,1,1,1,,,,,1,,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,15, 6.5 ,82,,0,,,,,,
AC-09,Previous Logon Notification,1,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,6, 2.6 ,83,,3,,,,,,
AC-09(01),Previous Logon Notification | Unsuccessful Logons,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,84,,3,,,,,,
AC-09(02),Previous Logon Notification | Successful and Unsuccessful Logons,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,85,,3,,,,,,
AC-09(03),Previous Logon Notification | Notification of Account Changes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,86,,3,,,,,,
AC-09(04),Previous Logon Notification | Additional Logon Information,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,87,,3,,,,,,
AC-10,Concurrent Session Control,1,,,,,1,,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,5, 2.2 ,88,,2,,,,,,
AC-11,Device Lock,1,,,,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,16, 7.0 ,89,,2,,,,,,
AC-11(01),Device Lock | Pattern-hiding Displays,1,,,,1,1,,1,1,,,1,,1,1,1,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,11, 4.8 ,90,,2,,,,,,
AC-12,Session Termination,1,,,,1,1,,1,1,,,1,1,,1,1,1,,,,,,,,,,1,1,,,1,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,13, 5.7 ,91,,2,,,,,,
AC-12(01),Session Termination | User-initiated Logouts,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,4, 1.7 ,92,,3,,,,,,
AC-12(02),Session Termination | Termination Message,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,93,,3,,,,,,
AC-12(03),Session Termination | Timeout Warning Message,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,94,,3,,,,,,
AC-13,[WITHDRAWN]: Wireless Access | Monitoring Unauthorized Connections,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,95,,3,,,,,,
AC-14,Permitted Actions Without Identification or Authentication,1,,,1,1,1,1,1,1,1,,,,,1,,,,,1,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,11, 4.8 ,96,,0,,,,,,
AC-14(01),[WITHDRAWN]: Access Control for Mobile Devices | Use of Writable and Portable Storage Devices,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,97,,3,,,,,,
AC-15,[WITHDRAWN]: Access Control for Mobile Devices | Use of Personally Owned Portable Storage Devices,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,98,,3,,,,,,
AC-16,Security and Privacy Attributes,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,4, 1.7 ,99,,3,,,,,,
AC-16(01),Security and Privacy Attributes | Dynamic Attribute Association,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,100,,3,,,,,,
